time_s,theta_rad,omega_rad_s,u,pwm_command,next_theta_rad,next_omega_rad_s,reward
2.870000000000000107e+00,3.250539768487215042e-03,9.126181976171210408e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250539535656571388e-03,9.038182906806468964e-05,-1.066817945272250355e-04
2.879999999999999893e+00,3.250539535656571388e-03,9.038182906806468964e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536974519491196e-03,9.076539572561159730e-05,-1.066814233869245091e-04
2.890000000000000124e+00,3.250536974519491196e-03,9.076539572561159730e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538371503353119e-03,9.114703425439074636e-05,-1.066815447735199187e-04
2.899999999999999911e+00,3.250538371503353119e-03,9.114703425439074636e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250543493777513504e-03,9.153931750915944576e-05,-1.066819192898976271e-04
2.910000000000000142e+00,3.250543493777513504e-03,9.153931750915944576e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250546287745237350e-03,9.067685459740459919e-05,-1.066822642998481132e-04
2.919999999999999929e+00,3.250546287745237350e-03,9.067685459740459919e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546986237168312e-03,9.108766971621662378e-05,-1.066820967405153714e-04
2.930000000000000160e+00,3.250546986237168312e-03,9.108766971621662378e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250545123592019081e-03,9.022886661114171147e-05,-1.066821495013263910e-04
2.939999999999999947e+00,3.250545123592019081e-03,9.022886661114171147e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541165471076965e-03,9.062857861863449216e-05,-1.066816853775526350e-04
2.950000000000000178e+00,3.250541165471076965e-03,9.062857861863449216e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541398301720619e-03,9.102185140363872051e-05,-1.066817224350475658e-04
2.959999999999999964e+00,3.250541398301720619e-03,9.102185140363872051e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545356422662735e-03,9.142164344666525722e-05,-1.066820184924935534e-04
2.970000000000000195e+00,3.250545356422662735e-03,9.142164344666525722e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250546986237168312e-03,9.056281123775988817e-05,-1.066822884694996093e-04
2.979999999999999982e+00,3.250546986237168312e-03,9.056281123775988817e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546287745237350e-03,9.097350266529247165e-05,-1.066820465355271740e-04
2.990000000000000213e+00,3.250546287745237350e-03,9.097350266529247165e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250543493777513504e-03,9.011080692289397120e-05,-1.066820234268652445e-04
3.000000000000000000e+00,3.250543493777513504e-03,9.011080692289397120e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538371503353119e-03,9.050274820765480399e-05,-1.066814791435880097e-04
3.010000000000000231e+00,3.250538371503353119e-03,9.050274820765480399e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536974519491196e-03,9.088410297408699989e-05,-1.066814292528670471e-04
3.020000000000000018e+00,3.250536974519491196e-03,9.088410297408699989e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250539535656571388e-03,9.126744407694786787e-05,-1.066816287050244196e-04
3.030000000000000249e+00,3.250539535656571388e-03,9.126744407694786787e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250539535656571388e-03,9.038708230946213007e-05,-1.066817894579172012e-04
3.040000000000000036e+00,3.250539535656571388e-03,9.038708230946213007e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536974519491196e-03,9.077045979211106896e-05,-1.066814216638208479e-04
3.050000000000000266e+00,3.250536974519491196e-03,9.077045979211106896e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538371503353119e-03,9.115206921705976129e-05,-1.066815463393011690e-04
3.060000000000000053e+00,3.250538371503353119e-03,9.115206921705976129e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250543726608157158e-03,9.154449071502313018e-05,-1.066819241957884791e-04
3.070000000000000284e+00,3.250543726608157158e-03,9.154449071502313018e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250546520575881004e-03,9.068234066944569349e-05,-1.066822727002788413e-04
3.080000000000000071e+00,3.250546520575881004e-03,9.068234066944569349e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250547219067811966e-03,9.109364327741786838e-05,-1.066821089186175802e-04
